gst-plugin-pipewire 1:1.4.7-1.1
gst-plugins-bad 1.26.4-1.1
gst-plugins-bad-libs 1.26.4-1.1
gst-plugins-base 1.26.4-1.1
gst-plugins-base-libs 1.26.4-1.1
gst-plugins-espeak 0.5.0-5.1
gst-plugins-good 1.26.4-1.1
gst-plugins-ugly 1.26.4-1.1
gstreamer 1.26.4-1.1
gstreamer-meta 1-4
gstreamer-vaapi 1.26.4-1.1
gtest 1.17.0-1.1
gtk-doc 1.34.0-3
gtk-layer-shell 0.9.2-1.1
gtk-session-lock 0.2.0-2.2
gtk-update-icon-cache 1:4.18.6-1.1
gtk2 2.24.33-5
gtk3 1:3.24.49-2.1
gtk4 1:4.18.6-1.1
gtk4-layer-shell 1.1.1-1.1
gtklock 4.0.0-1.2
gtklock-playerctl-module 4.0.0-1.2
gtklock-powerbar-module 4.0.0-1.2
gtklock-userinfo-module 4.0.1-1.1
gtkmm-4.0 4.18.0-2.1
gtkmm3 3.24.10-1.1
gtksourceview3 1:3.24.11+r30+gd880929f-1.1
gtksourceview4 4.8.4-2.1
gtksourceview5 5.16.0-2.1
gtkspell3 3.0.10-3.3
gts 0.7.6.121130-3.1
guile 3.0.10-1.1
gupnp 1:1.6.9-1.1
gupnp-igd 1.6.0-2.1
gutenprint 5.3.5-1.1
gvfs 1.57.2-4
gvfs-afc 1.57.2-4
gvfs-goa 1.57.2-4
gvfs-google 1.57.2-4
gvfs-gphoto2 1.57.2-4
gvfs-mtp 1.57.2-4
gvfs-nfs 1.57.2-4
gvfs-smb 1.57.2-4
gzip 1.14-2
harfbuzz 11.2.1-1
harfbuzz-icu 11.2.1-1
hdf5 1.14.6-5.1
heroic-games-launcher-bin 2.18.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highway 1.2.0-1.1
hip-runtime-amd 6.4.1-1
hsa-rocr 6.4.1-2.1
htmlq 0.4.0-2.2
htop 3.4.1-1.1
hunspell 1.7.2-2.3
hwdata 0.397-1
hwinfo 25.0-1.1
hwloc 2.12.1-1.1
hyphen 2.8.8-6.2
hyprcursor 0.1.13-1.1
hyprgraphics 0.1.5-1.1
hyprland 0.50.1-1
hyprland-qt-support 0.1.0-7.1
hyprland-qtutils 0.1.4-3.1
hyprlang 0.6.4-1.1
hyprutils 0.8.2-1.1
hyprwayland-scanner 0.4.5-1.1
i2c-tools 4.4-2.2
iana-etc 20250612-1
icoextract 0.2.0-1
icu 76.1-1.1
iio-sensor-proxy 3.7-1.1
ijs 0.35-6.1
imagemagick 7.1.2.0-2.1
imath 3.1.12-4.1
imlib2 1.12.5-1.1
inetutils 2.6-1
iniparser 4.2.6-2.1
inkscape 1.4.2-6.1
input-devices-support 1.0.7-3
intel-oneapi-common 2024.1.0-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2025.0.4-1.1
intel-oneapi-compiler-shared-runtime-libs 2025.0.4-2.1
intel-oneapi-openmp 2025.0.4-1.1
intel-oneapi-tbb 2021.12.0-2.1
intel-oneapi-tcm 1.2.0-3.1
intel-ucode 20250512-1
inxi 3.3.38.1-1
ipp-usb 0.9.30-1.1
iproute2 6.16.0-2.1
iptables 1:1.8.11-2.1
iputils 20250605-1.1
iso-codes 4.18.0-1
itstool 1:2.0.7-3
iw 6.9-1.1
iwd 3.9-1.1
jansson 2.14.1-1.1
jasper 4.2.5-1.1
jbig2dec 0.20-1.1
jbigkit 2.1-8.1
jemalloc 1:5.3.0-5.1
jfsutils 1.1.15-9.1
joystickwake 0.4.2-1.1
jq 1.8.1-1.1
json-c 0.18-2.1
json-glib 1.10.6-1.1
jsoncpp 1.9.6-3.3
kaccounts-integration 25.04.3-1.1
kactivities5 5.116.0-1.1
kanshi 1.8.0-1.1
karchive 6.16.0-1.1
karchive5 5.116.0-1.1
kate 25.04.3-1.1
kauth 6.16.0-1.1
kauth5 5.116.0-1.1
kbd 2.8.0-1.1
kbookmarks 6.16.0-1.1
kbookmarks5 5.116.0-1.2
kcmutils 6.16.0-1.1
kcodecs 6.16.0-1.3
kcodecs5 5.116.0-1.12
kcolorscheme 6.16.0-1.1
kcompletion 6.16.0-1.1
kcompletion5 5.116.0-1.4
kconfig 6.16.0-1.1
kconfig5 5.116.0-1.1
kconfigwidgets 6.16.0-1.1
kconfigwidgets5 5.116.0-1.1
kcoreaddons 6.16.0-1.1
kcoreaddons5 5.116.0-1.2
kcrash 6.16.0-1.1
kcrash5 5.116.0-1.1
kdbusaddons 6.16.0-1.1
kdbusaddons5 5.116.0-1.1
kdeclarative 6.16.0-1.1
kdeclarative5 5.116.0-1.2
kded5 5.116.0-1.2
kdenlive 25.04.3-1.1
keyutils 1.6.3-3.1
kfilemetadata 6.16.0-1.1
kglobalaccel 6.16.0-1.1
kglobalaccel5 5.116.0-1.1
kguiaddons 6.16.0-1.1
kguiaddons5 5.116.0-1.1
ki18n 6.16.0-1.1
ki18n5 5.116.0-1.2
kiconthemes 6.16.0-1.1
kiconthemes5 5.116.0-1.1
kio 6.16.0-1.1
kio5 5.116.0-2.1
kirigami 6.16.0-2.1
kirigami2 5.116.0-1.1
kitemviews 6.16.0-1.1
kitemviews5 5.116.0-1.1
kitty 0.42.2-1.1
kitty-shell-integration 0.42.2-1.1
kitty-terminfo 0.42.2-1.1
kjobwidgets 6.16.0-1.1
kjobwidgets5 5.116.0-1.2
kmod 34.2-1
knewstuff 6.16.0-1.1
knotifications 6.16.0-1.1
knotifications5 5.116.0-1.4
knotifyconfig 6.16.0-1.1
konsole 25.04.3-1.1
kpackage 6.16.0-1.1
kpackage5 5.116.0-1.2
kparts 6.16.0-1.1
kpty 6.16.0-1.1
krb5 1.21.3-2.1
krita 5.2.11-1.1
krita-plugin-gmic 3.5.3.0-1.1
kservice 6.16.0-1.1
kservice5 5.116.0-1.1
ksvg 6.16.0-1.1
ktexteditor 6.16.0-1.1
ktextwidgets 6.16.0-1.1
ktextwidgets5 5.116.0-1.2
kuserfeedback 6.16.0-1.1
kvantum 1.1.5-1.1
kvantum-qt5 1.1.5-1.1
kwallet 6.16.0-1.1
kwallet5 5.116.0-3.1
kwayland5 5.116.0-1.1
kwidgetsaddons 6.16.0-1.1
kwidgetsaddons5 5.116.0-1.1
kwindowsystem 6.16.0-1.1
kwindowsystem5 5.116.0-1.3
kxmlgui 6.16.0-1.1
kxmlgui5 5.116.0-1.2
l-smash 2.14.5-4.1
lact 0.8.0-2.1
ladspa 1.17-5.2
lame 3.100-5.1
lapack 3.12.1-2.1
lbzip2 2.5-6.1
lcms2 2.17-1.1
ldb 2:4.22.3-1.1
leancrypto 1.5.1-1.1
lensfun 1:0.3.4-5.1
